Source,Target,Type,Weight,videos
UCGIQxn4fW80bIvFL1neNQEg,UCd5jIyY4vLgFFsfCsyaL3Bw,Undirected,7,7
UCGIQxn4fW80bIvFL1neNQEg,UCxOvN5_bOyr0sBkGVLwh-xw,Undirected,5,5
UCd5jIyY4vLgFFsfCsyaL3Bw,UCxOvN5_bOyr0sBkGVLwh-xw,Undirected,4,4
UC07Kxew-cMIaykMOkzqHtBQ,UCNL1ZadSjHpjm4q9j2sVtOA,Undirected,13,13
UCPaJMRVqhoPwsBqhfOzf1bQ,UCWyS_FZNNDqKNLB7NBHEadw,Undirected,4,4
UCTY6fxtqkF_dtGanIhZHHVg,UCwUtwxkX0IDk9_OYaBcmRnQ,Undirected,9,9
UCFNosi99Sp0_eLilBiXmmXA,UCSDvKdIQOwTfcyOimSi9oYA,Undirected,8,8
UCV0pIPt5HFfulonNog3cz1A,UCgJG-YH8b_I4nc3oiHssdVA,Undirected,12,12
UC35HKvKYPkri4Grd5KXl3wQ,UCBVjMGOIkavEAhyqpxJ73Dw,Undirected,1,1
UC35HKvKYPkri4Grd5KXl3wQ,UCN1hnUccO4FD5WfM7ithXaw,Undirected,1,1
UC5Ls-9vs1SI7bEOtn8BD8vA,UCiHOsCL-qUxoKZpNZVM1kNQ,Undirected,1,1
UC5Ls-9vs1SI7bEOtn8BD8vA,UCAWNXeeLSwC1FaoYEV__u0A,Undirected,1,1
UC5Ls-9vs1SI7bEOtn8BD8vA,UCh1ZFNI53O_CQZ_5NNWbbbw,Undirected,1,1
UCAWNXeeLSwC1FaoYEV__u0A,UCh1ZFNI53O_CQZ_5NNWbbbw,Undirected,1,1
UC5Ls-9vs1SI7bEOtn8BD8vA,UCdzxj65vwZieF3BI-tvQ9KQ,Undirected,1,1
UC5Ls-9vs1SI7bEOtn8BD8vA,UCYJZgZnRR_SjmdfaZEzIlgQ,Undirected,1,1
UCIUKjjLfyf19Mr6Q_27GXlw,UCw4NZm6hgJ0Gxwep1zBrpfQ,Undirected,9,9
UCQvERCDVBsHg0CcBaPihvJg,UCugoOHsHbbuPL9421CjxSEA,Undirected,11,11
UC_p3IZfAsQ66RAUxNk7qTqQ,UCm55ke1xuIvjtX5wXkENpFA,Undirected,7,7
UCJrREGJ2R1mMuKJkZ8SMCcA,UCgtNC51EUSgcZ6kKyVoPxKA,Undirected,8,8
UCCyLTeLNwGXvodrH8QwgBdg,UCYYpf5Sz7ftJUCW4YPY2ZsQ,Undirected,1,1
UCCyLTeLNwGXvodrH8QwgBdg,UCqING2zcYYkHMdTUj9Po5mg,Undirected,1,1
UCYYpf5Sz7ftJUCW4YPY2ZsQ,UCqING2zcYYkHMdTUj9Po5mg,Undirected,1,1
UC0GLNhtTu7yI8rl6ZZGeezw,UC28dly7fFiPlISI-0AE-fbw,Undirected,3,3
UC0GLNhtTu7yI8rl6ZZGeezw,UCo8bcnLyZH8tBIH9V1mLgqQ,Undirected,3,3
UC28dly7fFiPlISI-0AE-fbw,UCo8bcnLyZH8tBIH9V1mLgqQ,Undirected,6,6
UCzIKEtTkedCG0HYwlof6fMw,UCztEY6czNyJKjRWMwuur9bg,Undirected,6,6
UC9cz0t8P3VkTHY7xjbS8zHA,UC9zY_E8mcAo_Oq772LEZq8Q,Undirected,1,1
UC9zY_E8mcAo_Oq772LEZq8Q,UCtXKddsQv6rrJ7tUUpZz-og,Undirected,1,1
UC9zY_E8mcAo_Oq772LEZq8Q,UCMF_5h2OejEhVorTB02UUSg,Undirected,1,1
UC9zY_E8mcAo_Oq772LEZq8Q,UCnwV0i25fH8pBrzuJ3WrHTw,Undirected,1,1
UC5RmUAcm_w5K9cxtQSj7W7g,UC9zY_E8mcAo_Oq772LEZq8Q,Undirected,1,1
UC1aTKL3dU_xQ5OqhtCpNjMw,UC3IZKseVpdzPSBaWxBxundA,Undirected,2,2
UC3IZKseVpdzPSBaWxBxundA,UCs-QBT4qkj_YiQw1ZntDO3g,Undirected,3,3
UC3IZKseVpdzPSBaWxBxundA,UC8C6QOPDVYwmuaSBZksefdg,Undirected,1,1
UCYDmx2Sfpnaxg488yBpZIGg,UCZvCP6sWj75MwpUP4LVtpNw,Undirected,3,3
UCYDmx2Sfpnaxg488yBpZIGg,UCaHwGJXFb28TekZMf7iFg5Q,Undirected,3,3
UCF3fJRTFtKXgvRDUkkhI6Pw,UCGIQxn4fW80bIvFL1neNQEg,Undirected,1,1
UCF3fJRTFtKXgvRDUkkhI6Pw,UCxOvN5_bOyr0sBkGVLwh-xw,Undirected,1,1
UC0yRIpnWAOLDzFjmBFh7b0A,UCWyS_FZNNDqKNLB7NBHEadw,Undirected,2,2
UCAWNXeeLSwC1FaoYEV__u0A,UCmXnGOvgbd_XIk-yhBR3XZw,Undirected,1,1
UCAWNXeeLSwC1FaoYEV__u0A,UCIMuE-Qv9TEEH1PttmiUN6A,Undirected,6,6
UCGOmQQzZ6M2rzPHXPRZAN4g,UCdzxj65vwZieF3BI-tvQ9KQ,Undirected,1,1
