Id,Label,url,Main Topic,Total Views,Total Videos,Subscribers
UCcgqSM4YEo5vVQpqwN-MaNw,Rihanna,https://www.youtube.com/channel/UCcgqSM4YEo5vVQpqwN-MaNw,Lifestyle (sociology),29335794669,94,46000000
UCVCdOaiHD05nGQm9tf1SEzw,will i am,https://www.youtube.com/channel/UCVCdOaiHD05nGQm9tf1SEzw,Pop music,3700627999,61,5190000
UC_d6W32xuEAyPlf_KmvvwEA,williamVEVO,https://www.youtube.com/channel/UC_d6W32xuEAyPlf_KmvvwEA,Hip hop music,2977086409,60,3670000
UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,https://www.youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g,Soul music,24806473188,235,17400000
UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande,https://www.youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,Music,32187261300,261,57400000
UC0Kgvj5t_c9EMWpEDWJuR1Q,DJ Khaled,https://www.youtube.com/channel/UC0Kgvj5t_c9EMWpEDWJuR1Q,Music,7793746094,75,14100000
UCrFB54bqp8sda4udJyNswlA,DJKhaledVEVO,https://www.youtube.com/channel/UCrFB54bqp8sda4udJyNswlA,Reggae,6760674181,128,4820000
UCEKb3YQMSjHs7tt69hMfPvw,Pay Gotti,https://www.youtube.com/channel/UCEKb3YQMSjHs7tt69hMfPvw,Music,50163977,88,107000
UCw4NZm6hgJ0Gxwep1zBrpfQ,YG,https://www.youtube.com/channel/UCw4NZm6hgJ0Gxwep1zBrpfQ,Pop music,2683541020,79,5040000
UCQvERCDVBsHg0CcBaPihvJg,Ruger,https://www.youtube.com/channel/UCQvERCDVBsHg0CcBaPihvJg,Pop music,946508362,136,2330000
UC_p3IZfAsQ66RAUxNk7qTqQ,Patoranking,https://www.youtube.com/channel/UC_p3IZfAsQ66RAUxNk7qTqQ,Pop music,778568494,113,1890000
UC9GtSLeksfK4yuJ_g1lgQbg,aespa,https://www.youtube.com/channel/UC9GtSLeksfK4yuJ_g1lgQbg,Pop music,6180258921,1756,8540000
UCgtNC51EUSgcZ6kKyVoPxKA,Becky G,https://www.youtube.com/channel/UCgtNC51EUSgcZ6kKyVoPxKA,Entertainment,13836787201,193,22600000
UCS24Tr9thUDMcggwNJ41YAQ,Kuuda,https://www.youtube.com/channel/UCS24Tr9thUDMcggwNJ41YAQ,,0,0,140
UCVgvEDdwOmLvZO5kvg1S80Q,Josh Gigante,https://www.youtube.com/channel/UCVgvEDdwOmLvZO5kvg1S80Q,Electronic music,734529,13,1970
UCl9a2Sr1yQBl3aW1f47I8Vw,When Stars Align,https://www.youtube.com/channel/UCl9a2Sr1yQBl3aW1f47I8Vw,Pop music,451294,92,2340
UCpm-eB6U_qtPYYQC7kjlNIA,CamelPhat,https://www.youtube.com/channel/UCpm-eB6U_qtPYYQC7kjlNIA,Music,308359364,93,234000
UCgZGpR80Z-x5fnUsKuKM2kg,MariooOfficial,https://www.youtube.com/channel/UCgZGpR80Z-x5fnUsKuKM2kg,Hip hop music,628033436,295,2330000
UCxKoKHs7YwjE_6nL6U36BsQ,D Voice,https://www.youtube.com/channel/UCxKoKHs7YwjE_6nL6U36BsQ,Music,176822450,232,781000
UC3WIRbOw46MsbycRc1N5x4g,JID,https://www.youtube.com/channel/UC3WIRbOw46MsbycRc1N5x4g,Music,753579752,74,1390000
UCqTVLEx7lQPmYzc_m6T4sug,JIDVEVO,https://www.youtube.com/channel/UCqTVLEx7lQPmYzc_m6T4sug,Soul music,351185263,31,112000
